央视频道,#genre#
济阳综合频道,http://144.255.31.236:6688/udp/239.21.1.187:5002
滨州综合频道,http://144.255.31.236:6688/udp/239.21.1.238:5002
济南教育频道,http://144.255.31.236:6688/udp/239.21.1.133:5002
青岛1,http://144.255.31.236:6688/udp/239.21.1.69:5002
青岛2,http://144.255.31.236:6688/udp/239.21.1.70:5002
青岛3,http://144.255.31.236:6688/udp/239.21.1.71:5002
青岛4,http://144.255.31.236:6688/udp/239.21.1.72:5002
青岛5,http://144.255.31.236:6688/udp/239.21.1.73:5002
青岛6,http://144.255.31.236:6688/udp/239.21.1.74:5002
济南娱乐,http://144.255.31.236:6688/udp/239.21.1.66:5002
济南少儿,http://144.255.31.236:6688/udp/239.21.1.68:5002
济南影视,http://144.255.31.236:6688/udp/239.21.1.65:5002
济南生活,http://144.255.31.236:6688/udp/239.21.1.64:5002
济南都市,http://144.255.31.236:6688/udp/239.21.1.63:5002
济南鲁中,http://144.255.31.236:6688/udp/239.21.1.149:5002
烟台公共,http://144.255.31.236:6688/udp/239.21.1.117:5002
宁阳2,http://144.255.31.236:6688/udp/239.21.1.144:5002
菏泽2,http://144.255.31.236:6688/udp/239.21.2.18:5002
济宁公共,http://144.255.31.236:6688/udp/239.21.2.20:5002
济宁生活,http://144.255.31.236:6688/udp/239.21.1.139:5002
沂源新闻,http://144.255.31.236:6688/udp/239.21.1.114:5002
淄博生活,http://144.255.31.236:6688/udp/239.21.1.109:5002
淄博都市,http://144.255.31.236:6688/udp/239.21.1.83:5002
BRTV纪实科教,http://144.255.31.236:6688/udp/239.21.1.172:5002
湖南金鹰纪实,http://144.255.31.236:6688/udp/239.21.1.170:5002
上海纪实人文,http://144.255.31.236:6688/udp/239.21.1.171:5002
CETV1,http://144.255.31.236:6688/udp/239.21.2.7:5002
中国交通,http://144.255.31.236:6688/udp/239.21.1.115:5002
海看剧场,http://144.255.31.236:6688/udp/239.21.1.98:5002
CCTV-4 北美,http://144.255.31.236:6688/udp/239.21.2.29:5002
CCTV-4 欧洲,http://144.255.31.236:6688/udp/239.21.2.28:5002
CGTN,http://144.255.31.236:6688/udp/239.21.2.30:5002
CGTN俄语,http://144.255.31.236:6688/udp/239.21.2.35:5002
CGTN法语,http://144.255.31.236:6688/udp/239.21.2.33:5002
CGTN纪录,http://144.255.31.236:6688/udp/239.21.2.31:5002
CGTN西班牙语,http://144.255.31.236:6688/udp/239.21.2.32:5002
CGTN阿拉伯语,http://144.255.31.236:6688/udp/239.21.2.34:5002
东明1,http://144.255.31.236:6688/udp/239.21.1.246:5002
东营公共,http://144.255.31.236:6688/udp/239.21.1.82:5002
东营新闻,http://144.255.31.236:6688/udp/239.21.1.81:5002
冠县综合,http://144.255.31.236:6688/udp/239.21.1.250:5002
寿光蔬菜,http://144.255.31.236:6688/udp/239.21.1.218:5002
惠民综合,http://144.255.31.236:6688/udp/239.21.1.181:5002
日照新闻,http://144.255.31.236:6688/udp/239.21.1.79:5002
日照科教,http://144.255.31.236:6688/udp/239.21.1.80:5002
栖霞综合,http://144.255.31.236:6688/udp/239.21.1.229:5002
桓台综合,http://144.255.31.236:6688/udp/239.21.1.105:5002
滨州公共,http://144.255.31.236:6688/udp/239.21.1.119:5002
滨州新闻,http://144.255.31.236:6688/udp/239.21.1.118:5002
潍坊寿光新闻,http://144.255.31.236:6688/udp/239.21.1.180:5002
牟平新闻,http://144.255.31.236:6688/udp/239.21.2.10:5002
牟平生活,http://144.255.31.236:6688/udp/239.21.2.11:5002
菏泽1,http://144.255.31.236:6688/udp/239.21.1.103:5002
诸城新闻,http://144.255.31.236:6688/udp/239.21.1.217:5002
长清新闻,http://144.255.31.236:6688/udp/239.21.1.107:5002


安徽电信,#genre#
安徽卫视,http://124.112.189.243:4022/rtp/238.1.79.27:4328
安徽经济生活,http://124.112.189.243:4022/rtp/238.1.79.44:4464
安徽影视频道,http://124.112.189.243:4022/rtp/238.1.79.42:4448
安徽农业科教,http://124.112.189.243:4022/rtp/238.1.79.40:4432
安徽国际频道,http://124.112.189.243:4022/rtp/238.1.78.61:6360
安徽公共频道,http://124.112.189.243:4022/rtp/238.1.79.43:4456
安徽综艺体育,http://124.112.189.243:4022/rtp/238.1.79.41:4440
合肥新闻频道,http://124.112.189.243:4022/rtp/238.1.78.111:6760
CCTV-1综合,http://124.112.189.243:4022/rtp/238.1.78.166:7200
CCTV-2财经,http://124.112.189.243:4022/rtp/238.1.78.235:7752
CCTV-3综艺,http://124.112.189.243:4022/rtp/238.1.78.170:7232
CCTV-4中文国际,http://124.112.189.243:4022/rtp/238.1.78.236:7760
CCTV-5体育,http://124.112.189.243:4022/rtp/238.1.78.171:7240
CCTV-6电影,http://124.112.189.243:4022/rtp/238.1.78.172:7248
CCTV-7国防军事,http://124.112.189.243:4022/rtp/238.1.78.239:7784
CCTV-8电视剧,http://124.112.189.243:4022/rtp/238.1.78.173:7256
CCTV-9纪录,http://124.112.189.243:4022/rtp/238.1.78.240:7792
CCTV-10科教,http://124.112.189.243:4022/rtp/238.1.78.241:7800
CCTV-11戏曲,http://124.112.189.243:4022/rtp/238.1.78.206:7502
CCTV-12社会与法,http://124.112.189.243:4022/rtp/238.1.78.242:7808
CCTV-13新闻,http://124.112.189.243:4022/rtp/238.1.79.35:4392
CCTV-14少儿,http://124.112.189.243:4022/rtp/238.1.78.243:7816
CCTV-15音乐,http://124.112.189.243:4022/rtp/238.1.78.222:7648
CCTV-17农业农村,http://124.112.189.243:4022/rtp/238.1.78.178:7296
CCTV-5+体育赛事,http://124.112.189.243:4022/rtp/238.1.78.237:7768
CCTV4K超高清,http://124.112.189.243:4022/rtp/238.1.78.137:6968
CCTV怀旧剧场,http://124.112.189.243:4022/rtp/238.1.79.61:4624
CCTV风云剧场,http://124.112.189.243:4022/rtp/238.1.79.62:4632
CCTV第一剧场,http://124.112.189.243:4022/rtp/238.1.79.63:4640
CCTV电视指南,http://124.112.189.243:4022/rtp/238.1.79.53:4560
CCTV央视文化精品,http://124.112.189.243:4022/rtp/238.1.79.54:4568
CCTV女性时尚,http://124.112.189.243:4022/rtp/238.1.79.55:4576
CCTV兵器科技,http://124.112.189.243:4022/rtp/238.1.79.56:4584
CCTV风云足球,http://124.112.189.243:4022/rtp/238.1.79.57:4592
CCTV世界地理,http://124.112.189.243:4022/rtp/238.1.79.60:4616
CCTV风云音乐,http://124.112.189.243:4022/rtp/238.1.79.64:4648
CCTV高尔夫网球,http://124.112.189.243:4022/rtp/238.1.79.58:4600
CCTV央视台球,http://124.112.189.243:4022/rtp/238.1.79.59:4608
北京卫视,http://124.112.189.243:4022/rtp/238.1.78.162:7168
天津卫视,http://124.112.189.243:4022/rtp/238.1.78.20:6088
湖北卫视,http://124.112.189.243:4022/rtp/238.1.78.168:7216
湖南卫视,http://124.112.189.243:4022/rtp/238.1.78.160:7152
东方卫视,http://124.112.189.243:4022/rtp/238.1.78.163:7176
安徽卫视,http://124.112.189.243:4022/rtp/238.1.78.150:7072
江苏卫视,http://124.112.189.243:4022/rtp/238.1.78.165:7192
浙江卫视,http://124.112.189.243:4022/rtp/238.1.78.164:7184
河北卫视,http://124.112.189.243:4022/rtp/238.1.78.245:7832
河南卫视,http://124.112.189.243:4022/rtp/238.1.79.65:4632
山东卫视,http://124.112.189.243:4022/rtp/238.1.78.169:7224
东南卫视,http://124.112.189.243:4022/rtp/238.1.78.22:6104
四川卫视,http://124.112.189.243:4022/rtp/238.1.78.30:6168
江西卫视,http://124.112.189.243:4022/rtp/238.1.78.26:6136
重庆卫视,http://124.112.189.243:4022/rtp/238.1.78.31:6176
广东卫视,http://124.112.189.243:4022/rtp/238.1.78.161:7160
黑龙江卫视,http://124.112.189.243:4022/rtp/238.1.78.159:7144
吉林卫视,http://124.112.189.243:4022/rtp/238.1.79.48:4496
辽宁卫视,http://124.112.189.243:4022/rtp/238.1.78.21:6096
海南卫视,http://124.112.189.243:4022/rtp/238.1.79.49:4504
深圳卫视,http://124.112.189.243:4022/rtp/238.1.78.156:7120
贵州卫视,http://124.112.189.243:4022/rtp/238.1.78.244:7824
甘肃卫视,http://124.112.189.243:4022/rtp/238.1.79.36:4400
陕西卫视,http://124.112.189.243:4022/rtp/238.1.78.88:6576
云南卫视,http://124.112.189.243:4022/rtp/238.1.78.89:6584
山西卫视,http://124.112.189.243:4022/rtp/238.1.78.95:6632
青海卫视,http://124.112.189.243:4022/rtp/238.1.78.102:6688
广西卫视,http://124.112.189.243:4022/rtp/238.1.78.70:6432
内蒙古卫视,http://124.112.189.243:4022/rtp/238.1.78.103:6696
宁夏卫视,http://124.112.189.243:4022/rtp/238.1.78.109:6744
新疆卫视,http://124.112.189.243:4022/rtp/238.1.78.110:6752
西藏卫视,http://124.112.189.243:4022/rtp/238.1.78.101:6680
兵团卫视,http://124.112.189.243:4022/rtp/238.1.78.104:6704
三沙卫视,http://124.112.189.243:4022/rtp/238.1.78.27:6144
厦门卫视,http://124.112.189.243:4022/rtp/238.1.78.246:7840
CETV-1,http://124.112.189.243:4022/rtp/238.1.78.158:7136
上海动漫秀场,http://124.112.189.243:4022/rtp/238.1.78.154:7104
上海生活时尚,http://124.112.189.243:4022/rtp/238.1.78.155:7112
上海东方财经,http://124.112.189.243:4022/rtp/238.1.78.73:6456
上海乐游纪实,http://124.112.189.243:4022/rtp/238.1.78.151:7080
上海都市剧场,http://124.112.189.243:4022/rtp/238.1.78.74:6464
上海金色学堂,http://124.112.189.243:4022/rtp/238.1.78.76:6480
上海游戏风云,http://124.112.189.243:4022/rtp/238.1.78.81:6520
上海法治天地,http://124.112.189.243:4022/rtp/238.1.78.84:6544
金鹰纪实,http://124.112.189.243:4022/rtp/238.1.79.9:4184
茶频道,http://124.112.189.243:4022/rtp/238.1.79.30:4352
快乐垂钓,http://124.112.189.243:4022/rtp/238.1.79.31:4360
金鹰卡通,http://124.112.189.243:4022/rtp/238.1.78.100:6672
卡酷少儿,http://124.112.189.243:4022/rtp/238.1.78.97:6648
肥西新闻综合,http://124.112.189.243:4022/rtp/238.1.78.185:7352
黄山新闻综合,http://124.112.189.243:4022/rtp/238.1.78.130:6912
黄山文旅频道,http://124.112.189.243:4022/rtp/238.1.78.131:6920
旌德新闻综合,http://124.112.189.243:4022/rtp/238.1.78.215:7592
霍邱新闻综合,http://124.112.189.243:4022/rtp/238.1.78.119:6824
六安综合频道,http://124.112.189.243:4022/rtp/238.1.78.144:7024
六安社会生活,http://124.112.189.243:4022/rtp/238.1.78.145:7032
淮北新闻综合,http://124.112.189.243:4022/rtp/238.1.78.135:6952
淮北经济生活,http://124.112.189.243:4022/rtp/238.1.78.136:6960
淮南新闻综合,http://124.112.189.243:4022/rtp/238.1.78.113:6776
淮南民生频道,http://124.112.189.243:4022/rtp/238.1.78.114:6784
滁州新闻综合,http://124.112.189.243:4022/rtp/238.1.78.132:6928
滁州科教频道,http://124.112.189.243:4022/rtp/238.1.78.133:6936
滁州公共频道,http://124.112.189.243:4022/rtp/238.1.78.134:6944
蒙城新闻频道,http://124.112.189.243:4022/rtp/238.1.79.19:4264
南陵新闻综合,http://124.112.189.243:4022/rtp/238.1.78.189:7384
祁门综合频道,http://124.112.189.243:4022/rtp/238.1.79.14:4224
湾沚综合频道,http://124.112.189.243:4022/rtp/238.1.78.187:7368
繁昌新闻综合,http://124.112.189.243:4022/rtp/238.1.78.190:7392
桐城综合频道,http://124.112.189.243:4022/rtp/238.1.78.28:6152
太湖新闻综合,http://124.112.189.243:4022/rtp/238.1.79.12:4208
池州新闻综合,http://124.112.189.243:4022/rtp/238.1.78.147:7048
池州文教生活,http://124.112.189.243:4022/rtp/238.1.78.148:7056
义安新闻综合,http://124.112.189.243:4022/rtp/238.1.78.211:7560
阜阳新闻综合,http://124.112.189.243:4022/rtp/238.1.78.124:6864
阜阳生活频道,http://124.112.189.243:4022/rtp/238.1.78.125:6872
阜阳教育频道,http://124.112.189.243:4022/rtp/238.1.78.126:6880
阜阳都市文艺,http://124.112.189.243:4022/rtp/238.1.78.127:6888
泗县新闻频道,http://124.112.189.243:4022/rtp/238.1.78.193:7416
临泉新闻频道,http://124.112.189.243:4022/rtp/238.1.78.29:6160
阜南新闻综合,http://124.112.189.243:4022/rtp/238.1.79.11:4200
亳州综合频道,http://124.112.189.243:4022/rtp/238.1.78.128:6896
亳州农村频道,http://124.112.189.243:4022/rtp/238.1.78.129:6904
徽州新闻频道,http://124.112.189.243:4022/rtp/238.1.78.138:6976
蚌埠新闻综合,http://124.112.189.243:4022/rtp/238.1.78.180:7312
蚌埠生活频道,http://124.112.189.243:4022/rtp/238.1.78.181:7320
寿县新闻综合,http://124.112.189.243:4022/rtp/238.1.78.146:7040
屯溪融媒频道,http://124.112.189.243:4022/rtp/238.1.79.45:4472
芜湖新闻综合,http://124.112.189.243:4022/rtp/238.1.78.112:6768
芜湖生活频道,http://124.112.189.243:4022/rtp/238.1.78.80:6512
无为新闻频道,http://124.112.189.243:4022/rtp/238.1.78.188:7376
马鞍山新闻综合,http://124.112.189.243:4022/rtp/238.1.79.15:4232
马鞍山科教生活,http://124.112.189.243:4022/rtp/238.1.78.77:6488
安庆新闻综合,http://124.112.189.243:4022/rtp/238.1.78.117:6808
安庆经济生活,http://124.112.189.243:4022/rtp/238.1.78.118:6816
潜山综合频道,http://124.112.189.243:4022/rtp/238.1.78.192:7408
黄山区融媒,http://124.112.189.243:4022/rtp/238.1.78.199:7464
歙县综合频道,http://124.112.189.243:4022/rtp/238.1.78.200:7472
休宁新闻综合,http://124.112.189.243:4022/rtp/238.1.79.20:4272
黟县新闻综合,http://124.112.189.243:4022/rtp/238.1.78.149:7064
宣城综合频道,http://124.112.189.243:4022/rtp/238.1.78.142:7008
宣城文旅生活,http://124.112.189.243:4022/rtp/238.1.78.143:7016
广德新闻综合,http://124.112.189.243:4022/rtp/238.1.78.212:7568
广德生活频道,http://124.112.189.243:4022/rtp/238.1.78.213:7576
郎溪新闻频道,http://124.112.189.243:4022/rtp/238.1.78.214:7584
宁国新闻综合,http://124.112.189.243:4022/rtp/238.1.78.216:7600
铜陵新闻综合,http://124.112.189.243:4022/rtp/238.1.78.139:6984
铜陵教育科技,http://124.112.189.243:4022/rtp/238.1.78.141:7000
枞阳电视台,http://124.112.189.243:4022/rtp/238.1.78.210:7552
霍山综合频道,http://124.112.189.243:4022/rtp/238.1.78.220:7632
金寨综合频道,http://124.112.189.243:4022/rtp/238.1.79.21:4280
濉溪新闻频道,http://124.112.189.243:4022/rtp/238.1.78.209:7544
宿州新闻综合,http://124.112.189.243:4022/rtp/238.1.78.121:6840
宿州公共频道,http://124.112.189.243:4022/rtp/238.1.78.122:6848
宿州科教频道,http://124.112.189.243:4022/rtp/238.1.78.123:6856
萧县新闻综合,http://124.112.189.243:4022/rtp/238.1.79.46:4480
五河新闻综合,http://124.112.189.243:4022/rtp/238.1.79.52:4528
固镇新闻综合,http://124.112.189.243:4022/rtp/238.1.79.47:4488
界首综合频道,http://124.112.189.243:4022/rtp/238.1.78.195:7432
利辛新闻综合,http://124.112.189.243:4022/rtp/238.1.78.196:7440
涡阳新闻综合,http://124.112.189.243:4022/rtp/238.1.78.197:7448

安徽卫视,http://183.164.236.214:8888/rtp/238.1.79.27:4328
安徽经济生活,http://183.164.236.214:8888/rtp/238.1.79.44:4464
安徽影视频道,http://183.164.236.214:8888/rtp/238.1.79.42:4448
安徽农业科教,http://183.164.236.214:8888/rtp/238.1.79.40:4432
安徽国际频道,http://183.164.236.214:8888/rtp/238.1.78.61:6360
安徽公共频道,http://183.164.236.214:8888/rtp/238.1.79.43:4456
安徽综艺体育,http://183.164.236.214:8888/rtp/238.1.79.41:4440
合肥新闻频道,http://183.164.236.214:8888/rtp/238.1.78.111:6760
CCTV-1综合,http://183.164.236.214:8888/rtp/238.1.78.166:7200
CCTV-2财经,http://183.164.236.214:8888/rtp/238.1.78.235:7752
CCTV-3综艺,http://183.164.236.214:8888/rtp/238.1.78.170:7232
CCTV-4中文国际,http://183.164.236.214:8888/rtp/238.1.78.236:7760
CCTV-5体育,http://183.164.236.214:8888/rtp/238.1.78.171:7240
CCTV-6电影,http://183.164.236.214:8888/rtp/238.1.78.172:7248
CCTV-7国防军事,http://183.164.236.214:8888/rtp/238.1.78.239:7784
CCTV-8电视剧,http://183.164.236.214:8888/rtp/238.1.78.173:7256
CCTV-9纪录,http://183.164.236.214:8888/rtp/238.1.78.240:7792
CCTV-10科教,http://183.164.236.214:8888/rtp/238.1.78.241:7800
CCTV-11戏曲,http://183.164.236.214:8888/rtp/238.1.78.206:7502
CCTV-12社会与法,http://183.164.236.214:8888/rtp/238.1.78.242:7808
CCTV-13新闻,http://183.164.236.214:8888/rtp/238.1.79.35:4392
CCTV-14少儿,http://183.164.236.214:8888/rtp/238.1.78.243:7816
CCTV-15音乐,http://183.164.236.214:8888/rtp/238.1.78.222:7648
CCTV-17农业农村,http://183.164.236.214:8888/rtp/238.1.78.178:7296
CCTV-5+体育赛事,http://183.164.236.214:8888/rtp/238.1.78.237:7768
CCTV4K超高清,http://183.164.236.214:8888/rtp/238.1.78.137:6968
CCTV怀旧剧场,http://183.164.236.214:8888/rtp/238.1.79.61:4624
CCTV风云剧场,http://183.164.236.214:8888/rtp/238.1.79.62:4632
CCTV第一剧场,http://183.164.236.214:8888/rtp/238.1.79.63:4640
CCTV电视指南,http://183.164.236.214:8888/rtp/238.1.79.53:4560
CCTV央视文化精品,http://183.164.236.214:8888/rtp/238.1.79.54:4568
CCTV女性时尚,http://183.164.236.214:8888/rtp/238.1.79.55:4576
CCTV兵器科技,http://183.164.236.214:8888/rtp/238.1.79.56:4584
CCTV风云足球,http://183.164.236.214:8888/rtp/238.1.79.57:4592
CCTV世界地理,http://183.164.236.214:8888/rtp/238.1.79.60:4616
CCTV风云音乐,http://183.164.236.214:8888/rtp/238.1.79.64:4648
CCTV高尔夫网球,http://183.164.236.214:8888/rtp/238.1.79.58:4600
CCTV央视台球,http://183.164.236.214:8888/rtp/238.1.79.59:4608
北京卫视,http://183.164.236.214:8888/rtp/238.1.78.162:7168
天津卫视,http://183.164.236.214:8888/rtp/238.1.78.20:6088
湖北卫视,http://183.164.236.214:8888/rtp/238.1.78.168:7216
湖南卫视,http://183.164.236.214:8888/rtp/238.1.78.160:7152
东方卫视,http://183.164.236.214:8888/rtp/238.1.78.163:7176
安徽卫视,http://183.164.236.214:8888/rtp/238.1.78.150:7072
江苏卫视,http://183.164.236.214:8888/rtp/238.1.78.165:7192
浙江卫视,http://183.164.236.214:8888/rtp/238.1.78.164:7184
河北卫视,http://183.164.236.214:8888/rtp/238.1.78.245:7832
河南卫视,http://183.164.236.214:8888/rtp/238.1.79.65:4632
山东卫视,http://183.164.236.214:8888/rtp/238.1.78.169:7224
东南卫视,http://183.164.236.214:8888/rtp/238.1.78.22:6104
四川卫视,http://183.164.236.214:8888/rtp/238.1.78.30:6168
江西卫视,http://183.164.236.214:8888/rtp/238.1.78.26:6136
重庆卫视,http://183.164.236.214:8888/rtp/238.1.78.31:6176
广东卫视,http://183.164.236.214:8888/rtp/238.1.78.161:7160
黑龙江卫视,http://183.164.236.214:8888/rtp/238.1.78.159:7144
吉林卫视,http://183.164.236.214:8888/rtp/238.1.79.48:4496
辽宁卫视,http://183.164.236.214:8888/rtp/238.1.78.21:6096
海南卫视,http://183.164.236.214:8888/rtp/238.1.79.49:4504
深圳卫视,http://183.164.236.214:8888/rtp/238.1.78.156:7120
贵州卫视,http://183.164.236.214:8888/rtp/238.1.78.244:7824
甘肃卫视,http://183.164.236.214:8888/rtp/238.1.79.36:4400
陕西卫视,http://183.164.236.214:8888/rtp/238.1.78.88:6576
云南卫视,http://183.164.236.214:8888/rtp/238.1.78.89:6584
山西卫视,http://183.164.236.214:8888/rtp/238.1.78.95:6632
青海卫视,http://183.164.236.214:8888/rtp/238.1.78.102:6688
广西卫视,http://183.164.236.214:8888/rtp/238.1.78.70:6432
内蒙古卫视,http://183.164.236.214:8888/rtp/238.1.78.103:6696
宁夏卫视,http://183.164.236.214:8888/rtp/238.1.78.109:6744
新疆卫视,http://183.164.236.214:8888/rtp/238.1.78.110:6752
西藏卫视,http://183.164.236.214:8888/rtp/238.1.78.101:6680
兵团卫视,http://183.164.236.214:8888/rtp/238.1.78.104:6704
三沙卫视,http://183.164.236.214:8888/rtp/238.1.78.27:6144
厦门卫视,http://183.164.236.214:8888/rtp/238.1.78.246:7840
CETV-1,http://183.164.236.214:8888/rtp/238.1.78.158:7136
上海动漫秀场,http://183.164.236.214:8888/rtp/238.1.78.154:7104
上海生活时尚,http://183.164.236.214:8888/rtp/238.1.78.155:7112
上海东方财经,http://183.164.236.214:8888/rtp/238.1.78.73:6456
上海乐游纪实,http://183.164.236.214:8888/rtp/238.1.78.151:7080
上海都市剧场,http://183.164.236.214:8888/rtp/238.1.78.74:6464
上海金色学堂,http://183.164.236.214:8888/rtp/238.1.78.76:6480
上海游戏风云,http://183.164.236.214:8888/rtp/238.1.78.81:6520
上海法治天地,http://183.164.236.214:8888/rtp/238.1.78.84:6544
金鹰纪实,http://183.164.236.214:8888/rtp/238.1.79.9:4184
茶频道,http://183.164.236.214:8888/rtp/238.1.79.30:4352
快乐垂钓,http://183.164.236.214:8888/rtp/238.1.79.31:4360
金鹰卡通,http://183.164.236.214:8888/rtp/238.1.78.100:6672
卡酷少儿,http://183.164.236.214:8888/rtp/238.1.78.97:6648
肥西新闻综合,http://183.164.236.214:8888/rtp/238.1.78.185:7352
黄山新闻综合,http://183.164.236.214:8888/rtp/238.1.78.130:6912
黄山文旅频道,http://183.164.236.214:8888/rtp/238.1.78.131:6920
旌德新闻综合,http://183.164.236.214:8888/rtp/238.1.78.215:7592
霍邱新闻综合,http://183.164.236.214:8888/rtp/238.1.78.119:6824
六安综合频道,http://183.164.236.214:8888/rtp/238.1.78.144:7024
六安社会生活,http://183.164.236.214:8888/rtp/238.1.78.145:7032
淮北新闻综合,http://183.164.236.214:8888/rtp/238.1.78.135:6952
